管轄	最終更新日	企業・事業場名称	所在地	公表日	違反法条	事案概要	その他参考事項	
北海道労働局	平成29年９月30日	いわみざわ農業協同組合	北海道岩見沢市	H28.10.4	労働安全衛生法第21条,労働安全衛生規則第431条	はいの崩壊を防止する措置を講じることなく労働者に作業を行わせたもの	H28.10.4送検	
北海道労働局	平成29年９月30日	（株）タムラ建設工業	北海道留萌市	H28.10.18	労働安全衛生法第31条,労働安全衛生規則第653条	高さ6.8ｍの屋根の端に手すり等を設けることなく請負人の労働者に作業を行わせたもの	H28.10.18送検	
北海道労働局	平成29年９月30日	西村建設	北海道留萌市	H28.10.18	労働安全衛生法第21条,労働安全衛生規則第519条,労働者派遣法第45条	高さ6.8ｍの屋根の端に手すり等を設けることなく労働者に作業を行わせたもの	H28.10.18送検	
北海道労働局	平成29年９月30日	小川重機土木（有）	北海道旭川市	H28.10.19	労働安全衛生法第21条,労働安全衛生規則第519条,労働者派遣法第45条	高さ８ｍの屋根上で安全帯を使用させることなく労働者に雪下ろし作業を行わせたもの	H28.10.19送検	
北海道労働局	平成29年９月30日	（有）伊藤造林	北海道紋別市	H28.11.28	労働安全衛生法第20条,労働安全衛生規則第155条	ドラグ・ショベルの作業計画を定めることなく労働者に作業を行わせたもの	H28.11.28送検	
北海道労働局	平成29年９月30日	（株）日洋フレッシュ　釧路工場	北海道釧路市	H29.1.16	労働安全衛生法第20条,労働安全衛生規則第130条の９	食品加工用圧縮機に覆い、囲い等を設けることなく労働者に作業を行わせたもの	H29.1.16送検	
北海道労働局	平成29年９月30日	（株）アイスライン	北海道札幌市白石区	H29.2.1	最低賃金法第４条	労働者６名に、２か月間の定期賃金合計約280万円を支払わなかったもの	H29.2.1送検	
北海道労働局	平成29年９月30日	長栄堂	北海道美唄市	H29.3.3	最低賃金法第４条	労働者５名に、５か月間の定期賃金合計約250万円を支払わなかったもの	H29.3.3送検	
北海道労働局	平成29年９月30日	（株）松村興業	北海道旭川市	H29.3.7	労働安全衛生法第61条,労働安全衛生法施行令第20条	トラクター・ショベルの運転を無資格の労働者に行わせたもの	H29.3.7送検	
北海道労働局	平成29年９月30日	道南生コン（株）　仁木工場	北海道余市郡仁木町	H29.3.10	労働安全衛生法第20条,労働安全衛生規則第107条	材料送給機械の運転を停止することなく労働者に作業を行わせたもの	H29.3.10送検	
北海道労働局	平成29年９月30日	（株）ＭＭＫホンダ	北海道河西郡芽室町	H29.3.14	労働安全衛生法第21条,労働安全衛生規則第519条	高さ2.6ｍの屋根上で安全帯を使用させることなく労働者に板金作業を行わせたもの	H29.3.14送検	
北海道労働局	平成29年９月30日	（株）トラスパーリンク	北海道札幌市清田区	H29.3.16	労働安全衛生法第20条,労働安全衛生規則第349条	架空電線に近接する場所で感電防止措置を講じることなく労働者に作業を行わせたもの	H29.3.16送検	
北海道労働局	平成29年９月30日	五友プラント工業（株）	福岡県飯塚市	H29.3.17	労働安全衛生法第20条,ゴンドラ安全規則第22条	ゴンドラを使用するに当たり作業開始前の点検を労働者に行わせなかったもの	H29.3.17送検	
