管轄	最終更新日	企業・事業場名称	所在地	公表日	違反法条	事案概要	その他参考事項
北海道労働局	令和元年7月31日	菱和黒島工業	北海道札幌市北区	H30.8.10	労働安全衛生法第100条,労働安全衛生規則第97条	４日以上の休業を要する労働災害が発生したのに、遅滞なく労働者死傷病報告を提出しなかったもの	H30.8.10送検
北海道労働局	令和元年7月31日	（株）ゼフォール	大阪府茨木市	H30.8.10	労働安全衛生法第120条	臨検監督を行った労働基準監督官の質問に対して、虚偽の陳述を行ったもの	H30.8.10送検
北海道労働局	令和元年7月31日	Ｔｍサービス	北海道帯広市	H30.9.3	労働基準法第15条	労働契約の締結に際し、書面を交付する方法により労働条,件を明示しなかったもの	H30.9.3送検
北海道労働局	令和元年7月31日	本別運送（株）	北海道中川郡本別町	H30.9.3	労働安全衛生法第61条,労働安全衛生法施行令第20条	無資格の労働者にトラクター･ショベルを運転させたもの	H30.9.3送検
北海道労働局	令和元年7月31日	（有）赤塚商会	北海道山越郡長万部町	H30.9.18	労働安全衛生法第20条,労働安全衛生規則第563条	高さ3.6ｍの足場にさん等を設けることなく、労働者に作業を行わせたもの	H30.9.18送検
北海道労働局	令和元年7月31日	美瑛町農業協同組合	北海道上川郡美瑛町	H30.11.5	労働安全衛生法第20条,労働安全衛生規則第107条	麦乾燥施設の運転を停止せず、労働者に清掃作業を行わせたもの	H30.11.5送検
北海道労働局	令和元年7月31日	（株）ＦＫコーポレーション	北海道札幌市北区	H30.11.20	労働安全衛生法第21条,労働安全衛生規則第537条	建築物解体工事現場において、物体落下による危険の防止措置なく、労働者に解体作業を行わせたもの	H30.11.20送検
北海道労働局	令和元年7月31日	（株）光建設	北海道滝川市	H30.12.3	労働基準法第62条,年少者労働基準規則第８条	満18歳に満たない者に、禁止されている足場の組立て作業を行わせたもの	H30.12.3送検
北海道労働局	令和元年7月31日	田井自動車工業（株）	北海道札幌市東区	H30.12.18	労働安全衛生法第21条,労働安全衛生規則第519条	高さ23ｍの作業床上で、安全帯を使用させることなく労働者に作業を行わせたもの	H30.12.18送検
北海道労働局	令和元年7月31日	（株）三浦興産	北海道日高郡新ひだか町	H31.1.17	労働安全衛生法第59条,労働安全衛生規則第36条	特別教育を行うことなく、労働者に走行集材機械の運転の業務を行わせたもの	H31.1.17送検
北海道労働局	令和元年7月31日	（株）谷口農場	北海道旭川市	H31.1.18	労働安全衛生法第20条,労働安全衛生規則第107条	食料品加工施設の充填機の運転を停止せず、労働者に清掃作業を行わせたもの	H31.1.18送検
北海道労働局	令和元年7月31日	カルビーポテト（株）	北海道帯広市	H31.1.18	労働安全衛生法第20条,労働安全衛生規則第151条の４	作業指揮者に作業の指揮を行わせることなく、フォークリフトを用いて作業を行わせたもの	H31.1.18送検
北海道労働局	令和元年7月31日	陸別町農業協同組合	北海道足寄郡陸別町	H31.1.23	労働安全衛生法第20条,労働安全衛生規則第162条	トラクター・ショベルのバケットに労働者を乗せて作業を行わせたもの	H31.1.23送検
北海道労働局	令和元年7月31日	（有）川村工務店	北海道礼文郡礼文町	H31.3.12	労働安全衛生法第21条,労働安全衛生規則第519条	高さ5.4ｍの屋根上で、手すり等を設けることなく労働者に作業を行わせたもの	H31.3.12送検
北海道労働局	令和元年7月31日	（株）ファイングレーン	北海道旭川市	H31.3.18	最低賃金法第４条	労働者１名に、１か月間の定期賃金約24万円を支払わなかったもの	H31.3.18送検
北海道労働局	令和元年7月31日	北海機材工業（株）	北海道札幌市中央区	H31.3.19	労働安全衛生法第100条,労働安全衛生規則第97条	４日以上の休業を要する労働災害が発生したのに、遅滞なく労働者死傷病報告を提出しなかったもの	H31.3.19送検
北海道労働局	令和元年7月31日	佐呂間開発工業（株）	北海道佐呂間郡佐呂間町	H31.3.19	労働安全衛生法第20条,労働安全衛生規則第158条	ドラグ・ショベルに接触するおそれがある箇所に労働者を立ち入らせたもの	H31.3.19送検
北海道労働局	令和元年7月31日	野坂工業（株）	北海道帯広市	H31.3.25	労働安全衛生法第21条,労働安全衛生規則第518条	高さ6.4ｍの鋼材の上で、作業床を設けることなく労働者に作業を行わせたもの	H31.3.25送検
北海道労働局	令和元年7月31日	（株）ダイヤ	秋田県大仙市	H31.3.26	労働安全衛生法第30条,労働安全衛生規則第636条	元請と下請の労働者の作業が同一の場所で行われる際に、労働災害防止のための連絡調整を行わなかったもの	H31.3.26送検
北海道労働局	令和元年7月31日	奈良建設	北海道函館市	H31.3.26	労働安全衛生法第21条,労働安全衛生規則第518条	高さ5.8ｍの梁の上で、作業床を設けることなく労働者に作業を行わせたもの	H31.3.26送検
北海道労働局	令和元年7月31日	西谷板金	北海道留萌市	R1.7.9	労働安全衛生法第21条,労働安全衛生規則第518条	高さ2.7ｍの板の上で、作業床を設けることなく労働者に作業を行わせたもの	R1.7.9送検
北海道労働局	令和元年7月31日	（株）やんべ牧場	北海道野付郡別海町	R1.7.16	労働安全衛生法第20条,労働安全衛生規則第101条	スクリューコンベアに覆いを設けることなく、除糞作業を行わせたもの	R1.7.16送検
北海道労働局	令和元年7月31日	（株）ハチロ	北海道留萌市	R1.7.19	労働安全衛生法第22条,労働安全衛生規則第578条	自然換気が不十分なところで、内燃機関を有するガソリン式発電機を使用させたもの	R1.7.19送検
青森労働局	令和元年7月31日	共栄産業（株）	青森県十和田市	H31.4.4	労働安全衛生法第100条,労働安全衛生規則第97条	４日以上の休業を要する労働災害が発生したのに、遅滞なく労働者死傷病報告書を提出しなかったもの	H31.4.4送検
青森労働局	令和元年7月31日	花万食品（株）	青森県八戸市	R1.5.9	労働基準法第26条	休業手当を支払わなかったもの	R1.5.9送検
青森労働局	令和元年7月31日	(有)東海金属	青森県八戸市	R1.7.5	労働安全衛生法第22条,酸素欠乏症等防止規則第９条	酸素欠乏危険場所に立ち入ることを禁止しなかったもの	R1.7.5送検
岩手労働局	令和元年7月31日	（有）スタンス	岐阜県各務原市	H30.9.20	労働安全衛生法第20条,労働安全衛生規則第151条の７	トラックに接触するおそれのある箇所に労働者を立ち入らせたもの	H30.9.20送検
岩手労働局	令和元年7月31日	みちのく商事	岩手県久慈市	H30.10.4	労働安全衛生法第21条,労働安全衛生規則第537条	倉庫移設作業において、木材の落下にによる危険を防止するための必要な措置を講じていなかったもの	H30.10.4送検
岩手労働局	令和元年7月31日	（有）川崎重機	岩手県一関市	H30.10.19	労働安全衛生法第20条,労働安全衛生規則第155条	車両系建設機械を使用する作業において、あらかじめ作業計画を定めていなかったもの	H30.10.19送検
岩手労働局	令和元年7月31日	共栄板金工業（株）	岩手県九戸郡洋野町	H31.2.4	労働安全衛生法第21条,労働安全衛生規則第524条	スレート屋根の吹き替え作業を行うにあたり、屋根上に歩み板等を設けることなく、作業を行わせたもの	H31.2.4送検
岩手労働局	令和元年7月31日	刈屋建設（株）	岩手県宮古市	H31.2.4	労働安全衛生法第31条,労働安全衛生規則第654条	墜落の危険のある架設通路に手すり等必要な設備を設けていなかったもの	H31.2.4送検
岩手労働局	令和元年7月31日	北城重機興業（有）	青森県八戸市	H31.2.4	労働安全衛生法第20条,労働安全衛生規則第552条	墜落の危険のある架設通路に手すり等必要な設備を設けていなかったもの	H31.2.4送検
岩手労働局	令和元年7月31日	三陸土建（株）	岩手県盛岡市	H31.3.14	労働安全衛生法第14条,労働安全衛生法施行令第６条,労働安全衛生規則第374条	土止め支保工の解体作業において、土止め支保工作業主任者が選任されていなかったもの	H31.3.14送検
岩手労働局	令和元年7月31日	（有）陸高商事	岩手県陸前高田市	H31.3.19	最低賃金法第４条	労働者23名に、１か月間の定期賃金合計約217万円を支払わなかったもの	H31.3.19送検
岩手労働局	令和元年7月31日	豊島建設（株）	岩手県大船渡市	H31.3.27	労働安全衛生法第21条,労働安全衛生規則第519条	高さ２ｍ以上の開口部に手すり等必要な設備を設けていなかったもの	H31.3.27送検
宮城労働局	令和元年7月31日	まるじんストアー	宮城県加美郡加美町	H30.9.18	最低賃金法第４条	労働者７名に、６か月間の定期賃金合計63万円を支払わなかったもの	H30.9.18送検
宮城労働局	令和元年7月31日	（株）オオウチ工芸	宮城県仙台市若林区	H30.11.1	労働基準法第32条	労働者28名に、36協定の締結なく、違法な時間外労働を行わせたもの	H30.11.1送検
宮城労働局	令和元年7月31日	白鳥産業	宮城県栗原市	H30.11.9	労働安全衛生法第61条,労働安全衛生法施行令第20条,クレーン等安全規則第68条	無資格者の労働者に移動式クレーンを運転させたもの	H30.11.9送検
