管轄	最終更新日	企業・事業場名称	所在地	公表日	違反法条	事案概要	その他参考事項
北海道労働局	平成31年3月31日	（有）ニックス	北海道札幌市白石区	H30.6.8	労働安全衛生法第30条,労働安全衛生規則第636条	元請と下請の労働者の作業が同一の場所で行われる際に、労働災害防止のための連絡調整を行わなかったもの	H30.6.8送検
北海道労働局	平成31年3月31日	（有）久末製材所	北海道檜山郡上ノ国町	H30.7.25	労働安全衛生法第100条,労働安全衛生規則第97条	４日以上の休業を要する労働災害が発生したのに、遅滞なく労働者死傷病報告を提出しなかったもの	H30.7.25送検
北海道労働局	平成31年3月31日	菱和黒島工業	北海道札幌市北区	H30.8.10	労働安全衛生法第100条,労働安全衛生規則第97条	４日以上の休業を要する労働災害が発生したのに、遅滞なく労働者死傷病報告を提出しなかったもの	H30.8.10送検
北海道労働局	平成31年3月31日	（株）ゼフォール	大阪府茨木市	H30.8.10	労働安全衛生法第120条	臨検監督を行った労働基準監督官の質問に対して、虚偽の陳述を行ったもの	H30.8.10送検
北海道労働局	平成31年3月31日	ＴＭサービス	北海道帯広市	H30.9.3	労働基準法第15条	労働契約の締結に際し、書面を交付する方法により労働条,件を明示しなかったもの	H30.9.3送検
北海道労働局	平成31年3月31日	本別運送（株）	北海道中川郡本別町	H30.9.3	労働安全衛生法第61条,労働安全衛生法施行令第20条	無資格の労働者にトラクター･ショベルを運転させたもの	H30.9.3送検
北海道労働局	平成31年3月31日	（有）赤塚商会	北海道山越郡長万部町	H30.9.18	労働安全衛生法第20条,労働安全衛生規則第563条	高さ3.6ｍの足場にさん等を設けることなく、労働者に作業を行わせたもの	H30.9.18送検
北海道労働局	平成31年3月31日	美瑛町農業協同組合	北海道上川郡美瑛町	H30.11.5	労働安全衛生法第20条,労働安全衛生規則第107条	麦乾燥施設の運転を停止せず、労働者に清掃作業を行わせたもの	H30.11.5送検
北海道労働局	平成31年3月31日	（株）ＦＫコーポレーション	北海道札幌市北区	H30.11.20	労働安全衛生法第21条,労働安全衛生規則第537条	建築物解体工事現場において、物体落下による危険の防止措置なく、労働者に解体作業を行わせたもの	H30.11.20送検
北海道労働局	平成31年3月31日	（株）光建設	北海道滝川市	H30.12.3	労働基準法第62条,年少者労働基準規則第８条	満18歳に満たない者に、禁止されている足場の組立て作業を行わせたもの	H30.12.3送検
北海道労働局	平成31年3月31日	田井自動車工業（株）	北海道札幌市東区	H30.12.18	労働安全衛生法第21条,労働安全衛生規則第519条	高さ23ｍの作業床上で、安全帯を使用させることなく労働者に作業を行わせたもの	H30.12.18送検
